id,query,description,log_probability,log_probability_random,n_elements,evidence,evidence_strength
PF10397,ADSL_C,Adenylosuccinate lyase C-terminus,-0.44416261,-0.49163898,1,0.02061873,Weak
PF11967,RecO_N,Recombination protein O N terminal,-0.44487200,-0.49163898,1,0.02031064,Weak
PF02565,RecO_C,Recombination protein O C terminal,-0.44487200,-0.49163898,1,0.02031064,Weak
PF02308,MgtC,MgtC family,-0.93664084,-0.98327796,2,0.02025425,Weak
PF01541,GIY-YIG,GIY-YIG catalytic domain,-0.93674265,-0.98327796,2,0.02021003,Weak
PF01218,Coprogen_oxidas,Coproporphyrinogen III oxidase,-0.44541364,-0.49163898,1,0.02007541,Weak
PF02634,FdhD-NarQ,FdhD/NarQ family,-0.44568176,-0.49163898,1,0.01995897,Weak
PF17762,HTH_ParB,HTH domain found in ParB protein,-0.93754901,-0.98327796,2,0.01985983,Weak
PF00962,A_deaminase,Adenosine/AMP deaminase,-0.44601044,-0.49163898,1,0.01981622,Weak
PF13616,Rotamase_3,PPIC-type PPIASE domain,-0.93786745,-0.98327796,2,0.01972153,Weak
PF06074,DUF935,Protein of unknown function (DUF935),-0.44638441,-0.49163898,1,0.01965381,Weak
PF13727,CoA_binding_3,CoA-binding domain,-0.44659658,-0.49163898,1,0.01956167,Weak
PF06172,Cupin_5,Cupin superfamily (DUF985),-0.44660163,-0.49163898,1,0.01955947,Weak
PF05491,RuvB_C,RuvB C-terminal winged helix domain,-0.44662183,-0.49163898,1,0.01955070,Weak
PF17864,AAA_lid_4,RuvB AAA lid domain,-0.44662183,-0.49163898,1,0.01955070,Weak
PF04794,YdjC,YdjC-like protein,-0.44679857,-0.49163898,1,0.01947394,Weak
PF01726,LexA_DNA_bind,LexA DNA binding domain,-0.44683896,-0.49163898,1,0.01945640,Weak
PF00712,DNA_pol3_beta,DNA polymerase III beta subunit; N-terminal domain,-0.44686925,-0.49163898,1,0.01944325,Weak
PF02767,DNA_pol3_beta_2,DNA polymerase III beta subunit; central domain,-0.44686925,-0.49163898,1,0.01944325,Weak
PF02768,DNA_pol3_beta_3,DNA polymerase III beta subunit; C-terminal domain,-0.44686925,-0.49163898,1,0.01944325,Weak
PF05954,Phage_GPD,Phage late control gene D protein (GPD),-0.44709135,-0.49163898,1,0.01934679,Weak
PF03819,MazG,MazG nucleotide pyrophosphohydrolase domain,-0.44724273,-0.49163898,1,0.01928105,Weak
PF16870,OxoGdeHyase_C,2-oxoglutarate dehydrogenase C-terminal,-0.44727300,-0.49163898,1,0.01926790,Weak
PF16078,2-oxogl_dehyd_N,2-oxoglutarate dehydrogenase N-terminus,-0.44727300,-0.49163898,1,0.01926790,Weak
PF06827,zf-FPG_IleRS,Zinc finger found in FPG and IleRS,-0.44734363,-0.49163898,1,0.01923723,Weak
PF01149,Fapy_DNA_glyco,Formamidopyrimidine-DNA glycosylase N-terminal domain,-0.44734363,-0.49163898,1,0.01923723,Weak
PF08529,NusA_N,NusA N-terminal domain,-0.44755043,-0.49163898,1,0.01914741,Weak
PF13184,KH_5,NusA-like KH domain,-0.44755043,-0.49163898,1,0.01914741,Weak
PF01808,AICARFT_IMPCHas,AICARFT/IMPCHase bienzyme,-0.44786807,-0.49163898,1,0.01900946,Weak
PF11911,DUF3429,Protein of unknown function (DUF3429),-0.44803439,-0.49163898,1,0.01893723,Weak
PF00316,FBPase,Fructose-1-6-bisphosphatase; N-terminal domain,-0.44805959,-0.49163898,1,0.01892629,Weak
PF08298,AAA_PrkA,PrkA AAA domain,-0.44812509,-0.49163898,1,0.01889784,Weak
PF07549,Sec_GG,SecD/SecF GG Motif,-0.94029954,-0.98327796,2,0.01866529,Weak
PF08543,Phos_pyr_kin,Phosphomethylpyrimidine kinase,-1.43270096,-1.47491694,3,0.01833417,Weak
PF02874,ATP-synt_ab_N,ATP synthase alpha/beta family; beta-barrel domain,-0.94110057,-0.98327796,2,0.01831741,Weak
PF13155,Toprim_2,Toprim-like,-0.94127425,-0.98327796,2,0.01824198,Weak
PF02405,MlaE,Permease MlaE,-0.44968014,-0.49163898,1,0.01822249,Weak
PF03618,Kinase-PPPase,Kinase/pyrophosphorylase,-0.44995654,-0.49163898,1,0.01810246,Weak
PF07302,AroM,AroM protein,-0.45025290,-0.49163898,1,0.01797375,Weak
PF02684,LpxB,Lipid-A-disaccharide synthetase,-0.45037342,-0.49163898,1,0.01792141,Weak
PF02873,MurB_C,UDP-N-acetylenolpyruvoylglucosamine reductase; C-terminal domain,-0.45041861,-0.49163898,1,0.01790178,Weak
PF06912,DUF1275,Protein of unknown function (DUF1275),-0.94213686,-0.98327796,2,0.01786735,Weak
PF02386,TrkH,Cation transport protein,-0.94220238,-0.98327796,2,0.01783890,Weak
PF00670,AdoHcyase_NAD,S-adenosyl-L-homocysteine hydrolase; NAD binding domain,-0.94278805,-0.98327796,2,0.01758454,Weak
PF06745,ATPase,KaiC,-0.94292369,-0.98327796,2,0.01752563,Weak
PF00154,RecA,recA bacterial DNA recombination protein,-0.94292369,-0.98327796,2,0.01752563,Weak
PF14317,YcxB,YcxB-like protein,-0.94301234,-0.98327796,2,0.01748714,Weak
PF02674,Colicin_V,Colicin V production protein,-0.45143199,-0.49163898,1,0.01746167,Weak
PF11927,DUF3445,Protein of unknown function (DUF3445),-0.45153725,-0.49163898,1,0.01741596,Weak
PF13279,4HBT_2,Thioesterase-like superfamily,-1.92682057,-1.96655592,4,0.01725684,Weak
PF03825,Nuc_H_symport,Nucleoside H+ symporter,-0.45195312,-0.49163898,1,0.01723535,Weak
PF00215,OMPdecase,Orotidine 5'-phosphate decarboxylase / HUMPS family,-0.45200821,-0.49163898,1,0.01721142,Weak
PF03180,Lipoprotein_9,NLPA lipoprotein,-2.91113937,-2.94983388,6,0.01680481,Weak
PF13632,Glyco_trans_2_3,Glycosyl transferase family group 2,-2.91121833,-2.94983388,6,0.01677052,Weak
PF17939,TetR_C_30,Tetracyclin repressor-like; C-terminal domain,-0.94480514,-0.98327796,2,0.01670854,Weak
PF08009,CDP-OH_P_tran_2,CDP-alcohol phosphatidyltransferase 2,-0.45322910,-0.49163898,1,0.01668120,Weak
PF00781,DAGK_cat,Diacylglycerol kinase catalytic domain,-0.94498948,-0.98327796,2,0.01662847,Weak
PF02567,PhzC-PhzF,Phenazine biosynthesis-like protein,-0.94561860,-0.98327796,2,0.01635525,Weak
PF05013,FGase,N-formylglutamate amidohydrolase,-0.45405839,-0.49163898,1,0.01632104,Weak
PF08331,DUF1730,Domain of unknown function (DUF1730),-0.45414326,-0.49163898,1,0.01628418,Weak
PF06835,LptC,Lipopolysaccharide-assembly; LptC-related,-0.45429799,-0.49163898,1,0.01621699,Weak
PF12544,LAM_C,Lysine-2;3-aminomutase,-0.45443772,-0.49163898,1,0.01615630,Weak
PF05170,AsmA,AsmA family,-0.94610631,-0.98327796,2,0.01614344,Weak
PF13581,HATPase_c_2,Histidine kinase-like ATPase domain,-2.91272340,-2.94983388,6,0.01611688,Weak
PF17850,CysA_C_terminal,CysA C-terminal regulatory domain,-0.45468715,-0.49163898,1,0.01604798,Weak
PF17912,OB_MalK,MalK OB fold domain,-0.45468715,-0.49163898,1,0.01604798,Weak
PF06071,YchF-GTPase_C,Protein of unknown function (DUF933),-0.45485671,-0.49163898,1,0.01597434,Weak
PF01207,Dus,Dihydrouridine synthase (Dus),-2.42185731,-2.45819490,5,0.01578121,Weak
PF08327,AHSA1,Activator of Hsp90 ATPase homolog 1-like protein,-0.45537011,-0.49163898,1,0.01575137,Weak
PF00445,Ribonuclease_T2,Ribonuclease T2 family,-0.45540000,-0.49163898,1,0.01573839,Weak
PF02233,PNTB,NAD(P) transhydrogenase beta subunit,-0.45562416,-0.49163898,1,0.01564104,Weak
PF09299,Mu-transpos_C,Mu transposase; C-terminal,-0.45564409,-0.49163898,1,0.01563238,Weak
PF11104,PilM_2,Type IV pilus assembly protein PilM;,-0.45576361,-0.49163898,1,0.01558048,Weak
PF14450,FtsA,Cell division protein FtsA,-0.45576361,-0.49163898,1,0.01558048,Weak
PF02491,SHS2_FTSA,SHS2 domain inserted in FTSA,-0.45576361,-0.49163898,1,0.01558048,Weak
PF02119,FlgI,Flagellar P-ring protein,-0.45583829,-0.49163898,1,0.01554804,Weak
PF06490,FleQ,Flagellar regulatory protein FleQ,-0.94848997,-0.98327796,2,0.01510823,Weak
PF01152,Bac_globin,Bacterial-like globin,-0.45718618,-0.49163898,1,0.01496266,Weak
PF00185,OTCace,Aspartate/ornithine carbamoyltransferase; Asp/Orn binding domain,-0.94898469,-0.98327796,2,0.01489338,Weak
PF02729,OTCace_N,Aspartate/ornithine carbamoyltransferase; carbamoyl-P binding domain,-0.94898469,-0.98327796,2,0.01489338,Weak
PF00764,Arginosuc_synth,Arginosuccinate synthase,-0.45759348,-0.49163898,1,0.01478577,Weak
PF03186,CobD_Cbib,CobD/Cbib protein,-0.45765306,-0.49163898,1,0.01475990,Weak
PF06421,LepA_C,GTP-binding protein LepA C-terminus,-0.45825852,-0.49163898,1,0.01449695,Weak
PF14572,Pribosyl_synth,Phosphoribosyl synthetase-associated domain,-0.45838748,-0.49163898,1,0.01444094,Weak
PF13793,Pribosyltran_N,N-terminal domain of ribose phosphate pyrophosphokinase,-0.45838748,-0.49163898,1,0.01444094,Weak
PF05951,Peptidase_M15_2,Bacterial protein of unknown function (DUF882),-0.45890306,-0.49163898,1,0.01421703,Weak
PF08291,Peptidase_M15_3,Peptidase M15,-0.45890306,-0.49163898,1,0.01421703,Weak
PF02566,OsmC,OsmC-like protein,-1.44241359,-1.47491694,3,0.01411603,Weak
PF03976,PPK2,Polyphosphate kinase 2 (PPK2),-0.45933901,-0.49163898,1,0.01402770,Weak
PF09107,SelB-wing_3,Elongation factor SelB; winged helix,-0.45979446,-0.49163898,1,0.01382990,Weak
PF09106,SelB-wing_2,Elongation factor SelB; winged helix,-0.45979446,-0.49163898,1,0.01382990,Weak
PF11182,AlgF,Alginate O-acetyl transferase AlgF,-0.46019520,-0.49163898,1,0.01365586,Weak
PF13344,Hydrolase_6,Haloacid dehalogenase-like hydrolase,-0.95190282,-0.98327796,2,0.01362605,Weak
PF17920,TetR_C_16,Tetracyclin repressor-like; C-terminal domain,-0.46058086,-0.49163898,1,0.01348837,Weak
PF01761,DHQ_synthase,3-dehydroquinate synthase,-0.46063523,-0.49163898,1,0.01346476,Weak
PF13507,GATase_5,CobB/CobQ-like glutamine amidotransferase domain,-0.46113917,-0.49163898,1,0.01324590,Weak
PF01569,PAP2,PAP2 superfamily,-3.41105681,-3.44147286,7,0.01320952,Weak
PF02075,RuvC,Crossover junction endodeoxyribonuclease RuvC,-0.46203247,-0.49163898,1,0.01285795,Weak
PF06808,DctM,Tripartite ATP-independent periplasmic transporter; DctM component,-4.88697921,-4.91638980,10,0.01277286,Weak
PF03331,LpxC,UDP-3-O-acyl N-acetylglycosamine deacetylase,-0.46244663,-0.49163898,1,0.01267808,Weak
PF06426,SATase_N,Serine acetyltransferase; N-terminal,-0.95417497,-0.98327796,2,0.01263927,Weak
PF12116,SpoIIID,Stage III sporulation protein D,-0.46268810,-0.49163898,1,0.01257321,Weak
PF06676,DUF1178,Protein of unknown function (DUF1178),-0.46303290,-0.49163898,1,0.01242346,Weak
PF07638,Sigma70_ECF,ECF sigma factor,-1.44648233,-1.47491694,3,0.01234899,Weak
PF02311,AraC_binding,AraC-like ligand binding domain,-4.39640072,-4.42475082,9,0.01231229,Weak
PF02475,Met_10,Met-10+ like-protein,-0.46345135,-0.49163898,1,0.01224173,Weak
PF03073,TspO_MBR,TspO/MBR family,-0.46358914,-0.49163898,1,0.01218189,Weak
PF04357,TamB,TamB; inner membrane protein subunit of TAM complex,-0.46373673,-0.49163898,1,0.01211779,Weak
PF13580,SIS_2,SIS domain,-0.46415474,-0.49163898,1,0.01193625,Weak
PF18158,AidB_N,Adaptive response protein AidB N-terminal domain,-0.46427272,-0.49163898,1,0.01188502,Weak
PF04335,VirB8,VirB8 protein,-0.46455774,-0.49163898,1,0.01176123,Weak
PF03009,GDPD,Glycerophosphoryl diester phosphodiesterase family,-0.46461669,-0.49163898,1,0.01173563,Weak
PF13007,LZ_Tnp_IS66,Transposase C of IS166 homeodomain,-0.46482791,-0.49163898,1,0.01164390,Weak
PF13005,zf-IS66,zinc-finger binding domain of transposase IS66,-0.46482791,-0.49163898,1,0.01164390,Weak
PF03050,DDE_Tnp_IS66,Transposase IS66 family,-0.46482791,-0.49163898,1,0.01164390,Weak
PF13817,DDE_Tnp_IS66_C,IS66 C-terminal element,-0.46482791,-0.49163898,1,0.01164390,Weak
PF00547,Urease_gamma,Urease; gamma subunit,-0.46549058,-0.49163898,1,0.01135611,Weak
PF00699,Urease_beta,Urease beta subunit,-0.46549058,-0.49163898,1,0.01135611,Weak
PF18074,PriA_C,Primosomal protein N C-terminal domain,-0.46583393,-0.49163898,1,0.01120699,Weak
PF17764,PriA_3primeBD,3'DNA-binding domain (3'BD),-0.46583393,-0.49163898,1,0.01120699,Weak
PF18319,PriA_CRR,PriA DNA helicase Cys-rich region (CRR) domain,-0.46583393,-0.49163898,1,0.01120699,Weak
PF00485,PRK,Phosphoribulokinase / Uridine kinase family,-0.46632411,-0.49163898,1,0.01099411,Weak
PF02091,tRNA-synt_2e,Glycyl-tRNA synthetase alpha subunit,-0.46662295,-0.49163898,1,0.01086432,Weak
PF13174,TPR_6,Tetratricopeptide repeat,-2.43359155,-2.45819490,5,0.01068510,Weak
PF12706,Lactamase_B_2,Beta-lactamase superfamily domain,-3.41696229,-3.44147286,7,0.01064480,Weak
PF13335,Mg_chelatase_C,Magnesium chelatase; subunit ChlI C-terminal,-0.46723979,-0.49163898,1,0.01059643,Weak
PF00493,MCM,MCM P-loop domain,-0.46723979,-0.49163898,1,0.01059643,Weak
PF02571,CbiJ,Precorrin-6x reductase CbiJ/CobK,-0.46743060,-0.49163898,1,0.01051357,Weak
PF02470,MlaD,MlaD protein,-0.46758712,-0.49163898,1,0.01044559,Weak
PF04402,SIMPL,Protein of unknown function (DUF541),-0.46766048,-0.49163898,1,0.01041373,Weak
PF11982,DUF3483,Domain of unknown function (DUF3483),-0.46816398,-0.49163898,1,0.01019506,Weak
PF01048,PNP_UDP_1,Phosphorylase superfamily,-0.46869639,-0.49163898,1,0.00996384,Weak
PF07683,CobW_C,Cobalamin synthesis protein cobW C-terminal domain,-2.43588527,-2.45819490,5,0.00968895,Weak
PF03952,Enolase_N,Enolase; N-terminal domain,-0.46949177,-0.49163898,1,0.00961841,Weak
PF00113,Enolase_C,Enolase; C-terminal TIM barrel domain,-0.46949177,-0.49163898,1,0.00961841,Weak
PF01514,YscJ_FliF,Secretory protein of YscJ/FliF family,-0.47000851,-0.49163898,1,0.00939399,Weak
PF08345,YscJ_FliF_C,Flagellar M-ring protein C-terminal,-0.47000851,-0.49163898,1,0.00939399,Weak
PF10135,Rod-binding,Rod binding protein,-0.47004262,-0.49163898,1,0.00937918,Weak
PF01975,SurE,Survival protein SurE,-0.47009622,-0.49163898,1,0.00935590,Weak
PF11700,ATG22,Vacuole effluxer Atg22 like,-0.47023263,-0.49163898,1,0.00929666,Weak
PF01232,Mannitol_dh,Mannitol dehydrogenase Rossmann domain,-0.96214312,-0.98327796,2,0.00917875,Weak
PF08125,Mannitol_dh_C,Mannitol dehydrogenase C-terminal domain,-0.96214312,-0.98327796,2,0.00917875,Weak
PF03880,DbpA,DbpA RNA binding domain,-0.47052971,-0.49163898,1,0.00916764,Weak
PF02517,CPBP,CPBP intramembrane metalloprotease,-0.96220452,-0.98327796,2,0.00915208,Weak
PF10908,DUF2778,Protein of unknown function (DUF2778),-0.47075366,-0.49163898,1,0.00907038,Weak
PF10090,HPTransfase,Histidine phosphotransferase C-terminal domain,-0.96296622,-0.98327796,2,0.00882128,Weak
PF11010,DUF2848,Protein of unknown function (DUF2848),-0.47188197,-0.49163898,1,0.00858036,Weak
PF00625,Guanylate_kin,Guanylate kinase,-0.96393358,-0.98327796,2,0.00840116,Weak
PF03447,NAD_binding_3,Homoserine dehydrogenase; NAD binding domain,-0.96418734,-0.98327796,2,0.00829095,Weak
PF02685,Glucokinase,Glucokinase,-0.47259590,-0.49163898,1,0.00827030,Weak
PF02834,LigT_PEase,LigT like Phosphoesterase,-0.47279004,-0.49163898,1,0.00818599,Weak
PF03729,DUF308,Short repeat of unknown function (DUF308),-0.47288224,-0.49163898,1,0.00814595,Weak
PF13523,Acetyltransf_8,Acetyltransferase (GNAT) domain,-0.96452165,-0.98327796,2,0.00814576,Weak
PF07499,RuvA_C,RuvA; C-terminal domain,-0.47315390,-0.49163898,1,0.00802797,Weak
PF01330,RuvA_N,RuvA N terminal domain,-0.47315390,-0.49163898,1,0.00802797,Weak
PF14031,D-ser_dehydrat,Putative serine dehydratase domain,-0.96482461,-0.98327796,2,0.00801419,Weak
PF01928,CYTH,CYTH domain,-0.47328484,-0.49163898,1,0.00797110,Weak
PF03099,BPL_LplA_LipB,Biotin/lipoate A/B protein ligase family,-0.96503212,-0.98327796,2,0.00792407,Weak
PF06723,MreB_Mbl,MreB/Mbl protein,-1.45670948,-1.47491694,3,0.00790740,Weak
PF09383,NIL,NIL domain,-0.47349332,-0.49163898,1,0.00788056,Weak
PF01244,Peptidase_M19,Membrane dipeptidase (Peptidase family M19),-0.47356118,-0.49163898,1,0.00785109,Weak
PF13500,AAA_26,AAA domain,-0.96569691,-0.98327796,2,0.00763535,Weak
PF14805,THDPS_N_2,Tetrahydrodipicolinate N-succinyltransferase N-terminal,-0.47413290,-0.49163898,1,0.00760279,Weak
PF01058,Oxidored_q6,NADH ubiquinone oxidoreductase; 20 Kd subunit,-1.94914380,-1.96655592,4,0.00756199,Weak
PF04442,CtaG_Cox11,Cytochrome c oxidase assembly protein CtaG/Cox11,-0.47437016,-0.49163898,1,0.00749975,Weak
PF07077,DUF1345,Protein of unknown function (DUF1345),-0.47445246,-0.49163898,1,0.00746401,Weak
PF02852,Pyr_redox_dim,Pyridine nucleotide-disulphide oxidoreductase; dimerisation domain,-1.45773382,-1.47491694,3,0.00746253,Weak
PF08889,WbqC,WbqC-like protein family,-0.47446698,-0.49163898,1,0.00745770,Weak
PF13440,Polysacc_synt_3,Polysaccharide biosynthesis protein,-0.96641130,-0.98327796,2,0.00732510,Weak
PF01943,Polysacc_synt,Polysaccharide biosynthesis protein,-0.96641130,-0.98327796,2,0.00732510,Weak
PF06769,YoeB_toxin,YoeB-like toxin of bacterial type II toxin-antitoxin system,-0.47485896,-0.49163898,1,0.00728747,Weak
PF03193,RsgA_GTPase,RsgA GTPase,-0.96659380,-0.98327796,2,0.00724584,Weak
PF06996,T6SS_TssG,Type VI secretion; TssG,-0.47523620,-0.49163898,1,0.00712364,Weak
PF09669,Phage_pRha,Phage regulatory protein Rha (Phage_pRha),-0.47562289,-0.49163898,1,0.00695570,Weak
PF03374,ANT,Phage antirepressor protein KilAC domain,-0.47562289,-0.49163898,1,0.00695570,Weak
PF04303,PrpF,PrpF protein,-0.47589828,-0.49163898,1,0.00683610,Weak
PF05544,Pro_racemase,Proline racemase,-0.47589828,-0.49163898,1,0.00683610,Weak
PF04264,YceI,YceI-like domain,-0.96831447,-0.98327796,2,0.00649856,Weak
PF08541,ACP_syn_III_C,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,-0.47675752,-0.49163898,1,0.00646293,Weak
PF05834,Lycopene_cycl,Lycopene cyclase protein,-0.96879074,-0.98327796,2,0.00629172,Weak
PF01351,RNase_HII,Ribonuclease HII,-0.47729761,-0.49163898,1,0.00622838,Weak
PF05899,Cupin_3,Protein of unknown function (DUF861),-1.95302623,-1.96655592,4,0.00587587,Weak
PF05065,Phage_capsid,Phage capsid family,-0.47889606,-0.49163898,1,0.00553418,Weak
PF02979,NHase_alpha,Nitrile hydratase; alpha chain,-0.47901146,-0.49163898,1,0.00548406,Weak
PF12900,Pyridox_ox_2,Pyridoxamine 5'-phosphate oxidase,-0.47997720,-0.49163898,1,0.00506465,Weak
PF07584,BatA,Aerotolerance regulator N-terminal,-0.48010202,-0.49163898,1,0.00501044,Weak
PF13709,DUF4159,Domain of unknown function (DUF4159),-0.48010202,-0.49163898,1,0.00501044,Weak
PF02585,PIG-L,GlcNAc-PI de-N-acetylase,-0.48021242,-0.49163898,1,0.00496249,Weak
PF13742,tRNA_anti_2,OB-fold nucleic acid binding domain,-0.48030360,-0.49163898,1,0.00492289,Weak
PF02601,Exonuc_VII_L,Exonuclease VII; large subunit,-0.48030360,-0.49163898,1,0.00492289,Weak
PF01578,Cytochrom_C_asm,Cytochrome C assembly protein,-0.97214340,-0.98327796,2,0.00483568,Weak
PF13884,Peptidase_S74,Chaperone of endosialidase,-0.48067302,-0.49163898,1,0.00476246,Weak
PF01503,PRA-PH,Phosphoribosyl-ATP pyrophosphohydrolase,-0.97252364,-0.98327796,2,0.00467054,Weak
PF00988,CPSase_sm_chain,Carbamoyl-phosphate synthase small chain; CPSase domain,-0.48116207,-0.49163898,1,0.00455007,Weak
PF01782,RimM,RimM N-terminal domain,-0.48136334,-0.49163898,1,0.00446266,Weak
PF00186,DHFR_1,Dihydrofolate reductase,-0.48164597,-0.49163898,1,0.00433991,Weak
PF01706,FliG_C,FliG C-terminal domain,-0.48209603,-0.49163898,1,0.00414445,Weak
PF14841,FliG_M,FliG middle domain,-0.48209603,-0.49163898,1,0.00414445,Weak
PF14842,FliG_N,FliG N-terminal domain,-0.48209603,-0.49163898,1,0.00414445,Weak
PF07323,DUF1465,Protein of unknown function (DUF1465),-0.48217261,-0.49163898,1,0.00411119,Weak
PF06144,DNA_pol3_delta,DNA polymerase III; delta subunit,-0.48234966,-0.49163898,1,0.00403430,Weak
PF00091,Tubulin,Tubulin/FtsZ family; GTPase domain,-0.48236401,-0.49163898,1,0.00402807,Weak
PF12327,FtsZ_C,FtsZ family; C-terminal domain,-0.48236401,-0.49163898,1,0.00402807,Weak
PF11306,DUF3108,Protein of unknown function (DUF3108),-0.48239272,-0.49163898,1,0.00401560,Weak
PF05099,TerB,Tellurite resistance protein TerB,-1.46574554,-1.47491694,3,0.00398309,Weak
PF04951,Peptidase_M55,D-aminopeptidase,-0.48261275,-0.49163898,1,0.00392004,Weak
PF02590,SPOUT_MTase,Predicted SPOUT methyltransferase,-0.48264623,-0.49163898,1,0.00390550,Weak
PF06537,DHOR,Di-haem oxidoreductase; putative peroxidase,-0.48276578,-0.49163898,1,0.00385358,Weak
PF18267,Rubredoxin_C,Rubredoxin NAD+ reductase C-terminal domain,-0.48325333,-0.49163898,1,0.00364184,Weak
PF07660,STN,Secretin and TonB N terminus short domain,-0.97505587,-0.98327796,2,0.00357081,Weak
PF02358,Trehalose_PPase,Trehalose-phosphatase,-0.48362592,-0.49163898,1,0.00348003,Weak
PF01325,Fe_dep_repress,Iron dependent repressor; N-terminal DNA binding domain,-0.48380737,-0.49163898,1,0.00340123,Weak
PF04127,DFP,DNA / pantothenate metabolism flavoprotein,-0.48396490,-0.49163898,1,0.00333281,Weak
PF02441,Flavoprotein,Flavoprotein,-0.48396490,-0.49163898,1,0.00333281,Weak
PF10396,TrmE_N,GTP-binding protein TrmE N-terminus,-0.48430371,-0.49163898,1,0.00318567,Weak
PF12631,MnmE_helical,MnmE helical domain,-0.48430371,-0.49163898,1,0.00318567,Weak
PF13252,DUF4043,Protein of unknown function (DUF4043),-0.48439912,-0.49163898,1,0.00314423,Weak
PF02646,RmuC,RmuC family,-0.48478062,-0.49163898,1,0.00297855,Weak
PF08340,DUF1732,Domain of unknown function (DUF1732),-0.48491410,-0.49163898,1,0.00292058,Weak
PF13532,2OG-FeII_Oxy_2,2OG-Fe(II) oxygenase superfamily,-0.48491410,-0.49163898,1,0.00292058,Weak
PF03755,YicC_N,YicC-like family; N-terminal region,-0.48491410,-0.49163898,1,0.00292058,Weak
PF02639,DUF188,Uncharacterized BCR; YaiI/YqxD family COG1671,-0.48494746,-0.49163898,1,0.00290609,Weak
PF01513,NAD_kinase,ATP-NAD kinase,-0.97739048,-0.98327796,2,0.00255690,Weak
PF04962,KduI,KduI/IolB family,-0.48591434,-0.49163898,1,0.00248618,Weak
PF03358,FMN_red,NADPH-dependent FMN reductase,-2.94441813,-2.94983388,6,0.00235203,Weak
PF11064,DUF2865,Protein of unknown function (DUF2865),-0.48680380,-0.49163898,1,0.00209989,Weak
PF03477,ATP-cone,ATP cone domain,-0.48689411,-0.49163898,1,0.00206067,Weak
PF02322,Cyt_bd_oxida_II,Cytochrome bd terminal oxidase subunit II,-1.47027531,-1.47491694,3,0.00201584,Weak
PF06983,3-dmu-9_3-mt,3-demethylubiquinone-9 3-methyltransferase,-0.48700817,-0.49163898,1,0.00201114,Weak
PF01180,DHO_dh,Dihydroorotate dehydrogenase,-1.47031617,-1.47491694,3,0.00199809,Weak
PF12391,PCDO_beta_N,Protocatechuate 3;4-dioxygenase beta subunit N terminal,-0.48705093,-0.49163898,1,0.00199256,Weak
PF13583,Reprolysin_4,Metallo-peptidase family M12B Reprolysin-like,-0.48726473,-0.49163898,1,0.00189971,Weak
PF05147,LANC_like,Lanthionine synthetase C-like protein,-0.48729798,-0.49163898,1,0.00188527,Weak
PF13575,DUF4135,Domain of unknown function (DUF4135),-0.48729798,-0.49163898,1,0.00188527,Weak
PF02622,DUF179,Uncharacterized ACR; COG1678,-0.48746895,-0.49163898,1,0.00181102,Weak
PF03141,Methyltransf_29,Putative S-adenosyl-L-methionine-dependent methyltransferase,-0.48750220,-0.49163898,1,0.00179658,Weak
PF05219,DREV,DREV methyltransferase,-0.48750220,-0.49163898,1,0.00179658,Weak
PF07750,GcrA,GcrA cell cycle regulator,-0.48769686,-0.49163898,1,0.00171204,Weak
PF02326,YMF19,Plant ATP synthase F0,-0.48770635,-0.49163898,1,0.00170792,Weak
PF06059,DUF930,Domain of Unknown Function (DUF930),-0.48780129,-0.49163898,1,0.00166669,Weak
PF12973,Cupin_7,ChrR Cupin-like domain,-1.47110832,-1.47491694,3,0.00165406,Weak
PF01427,Peptidase_M15,D-ala-D-ala dipeptidase,-0.48826155,-0.49163898,1,0.00146680,Weak
PF02542,YgbB,YgbB family,-0.48835641,-0.49163898,1,0.00142560,Weak
PF13495,Phage_int_SAM_4,Phage integrase; N-terminal SAM-like domain,-0.48836589,-0.49163898,1,0.00142148,Weak
PF12390,Se-cys_synth_N,Selenocysteine synthase N terminal,-0.48885420,-0.49163898,1,0.00120941,Weak
PF03841,SelA,L-seryl-tRNA selenium transferase,-0.48885420,-0.49163898,1,0.00120941,Weak
PF00793,DAHP_synth_1,DAHP synthetase I family,-0.48956946,-0.49163898,1,0.00089878,Weak
PF00909,Ammonium_transp,Ammonium Transporter Family,-0.49008057,-0.49163898,1,0.00067681,Weak
PF00499,Oxidored_q3,NADH-ubiquinone/plastoquinone oxidoreductase chain 6,-0.49012788,-0.49163898,1,0.00065626,Weak
PF02894,GFO_IDH_MocA_C,Oxidoreductase family; C-terminal alpha/beta domain,-0.49064804,-0.49163898,1,0.00043036,Weak
PF03553,Na_H_antiporter,Na+/H+ antiporter family,-0.49074257,-0.49163898,1,0.00038931,Weak
PF06764,DUF1223,Protein of unknown function (DUF1223),-0.49077092,-0.49163898,1,0.00037699,Weak
PF02912,Phe_tRNA-synt_N,Aminoacyl tRNA synthetase class II; N-terminal domain,-0.49096467,-0.49163898,1,0.00029285,Weak
PF01409,tRNA-synt_2d,tRNA synthetases class II core domain (F),-0.49096467,-0.49163898,1,0.00029285,Weak
PF13365,Trypsin_2,Trypsin-like peptidase domain,-2.45813694,-2.45819490,5,0.00002517,Weak
PF00089,Trypsin,Trypsin,-2.45813694,-2.45819490,5,0.00002517,Weak
